,Causa_Direta,Natureza,Interrupcao (h),Hora
1083,Interferência de Terceiro,Abalroamento,2.2,4
1084,Interferência de Terceiro,Atropelamento,0.0,17
1085,Interferência de Terceiro,Atropelamento,0.2,19
1086,Interferência de Terceiro,Abalroamento,0.3,6
1087,Interferência de Terceiro,Abalroamento,0.5,10
1088,Interferência de Terceiro,Abalroamento,0.0,13
1089,Interferência de Terceiro,Atropelamento,0.1,15
1090,Interferência de Terceiro,Abalroamento,0.8,9
1091,Interferência de Terceiro,Atropelamento,0.0,4
1092,Material Rodante,Descarrilamento,0.0,21
1093,Via Permanente,Descarrilamento,5.4,15
1094,Interferência de Terceiro,Atropelamento,2.0,18
1095,Interferência de Terceiro,Atropelamento,0.0,23
1096,Casos Fortuitos ou de Força Maior,Descarrilamento,8.9,8
1097,Interferência de Terceiro,Atropelamento,0.0,12
1098,Interferência de Terceiro,Atropelamento,1.0,16
1099,Interferência de Terceiro,Atropelamento,1.2,18
1100,Interferência de Terceiro,Abalroamento,0.0,20
1101,Falha Humana,Abalroamento,0.0,12
1102,Material Rodante,Descarrilamento,9.5,6
1103,Interferência de Terceiro,Atropelamento,0.3,13
1104,Interferência de Terceiro,Atropelamento,4.7,21
1105,Via Permanente,Descarrilamento,25.0,13
1106,Interferência de Terceiro,Atropelamento,2.9,22
1107,Interferência de Terceiro,Abalroamento,0.2,19
1108,Interferência de Terceiro,Abalroamento,2.0,6
1109,Via Permanente,Descarrilamento,27.7,10
1110,Interferência de Terceiro,Abalroamento,2.0,12
1111,Interferência de Terceiro,Atropelamento,0.0,17
1112,Via Permanente,Descarrilamento,10.6,3
1113,Falha Humana,Descarrilamento,20.0,23
1114,Material Rodante,Descarrilamento,5.2,0
1115,Interferência de Terceiro,Abalroamento,1.0,12
1116,Interferência de Terceiro,Atropelamento,1.3,16
1117,Interferência de Terceiro,Atropelamento,0.2,17
1118,Casos Fortuitos ou de Força Maior,Colisão,0.0,20
1119,Via Permanente,Descarrilamento,0.0,16
1120,Interferência de Terceiro,Atropelamento,0.6,17
1121,Via Permanente,Descarrilamento,21.5,12
1122,Interferência de Terceiro,Incêndio,0.0,13
1123,Interferência de Terceiro,Atropelamento,1.8,7
1124,Interferência de Terceiro,Abalroamento,2.1,11
1125,Interferência de Terceiro,Atropelamento,0.0,6
1126,Via Permanente,Descarrilamento,12.5,9
1127,Interferência de Terceiro,Atropelamento,1.0,15
1128,Interferência de Terceiro,Atropelamento,0.3,11
1129,Interferência de Terceiro,Abalroamento,0.4,19
1130,Interferência de Terceiro,Abalroamento,0.2,11
1131,Interferência de Terceiro,Abalroamento,0.0,16
1132,Interferência de Terceiro,Abalroamento,1.0,18
1133,Interferência de Terceiro,Abalroamento,0.0,6
1134,Interferência de Terceiro,Abalroamento,0.0,14
1135,Interferência de Terceiro,Abalroamento,0.5,20
1136,Interferência de Terceiro,Abalroamento,2.1,10
1137,Via Permanente,Descarrilamento,0.0,18
1138,Interferência de Terceiro,Abalroamento,0.3,1
1139,Interferência de Terceiro,Abalroamento,0.0,14
1140,Via Permanente,Descarrilamento,9.0,18
1141,Interferência de Terceiro,Atropelamento,3.3,18
1142,Interferência de Terceiro,Abalroamento,2.0,19
1143,Interferência de Terceiro,Abalroamento,1.1,19
1144,Interferência de Terceiro,Abalroamento,0.0,10
1145,Via Permanente,Descarrilamento,2.0,13
1146,Falha Humana,Colisão,0.0,17
1147,Interferência de Terceiro,Atropelamento,2.0,20
1148,Interferência de Terceiro,Atropelamento,0.0,13
1149,Interferência de Terceiro,Abalroamento,1.4,16
1150,Interferência de Terceiro,Atropelamento,0.1,18
1151,Via Permanente,Descarrilamento,23.0,6
1152,Interferência de Terceiro,Abalroamento,4.5,16
1153,Via Permanente,Descarrilamento,3.7,21
1154,Via Permanente,Descarrilamento,6.1,12
1155,Via Permanente,Descarrilamento,7.4,18
1156,Via Permanente,Descarrilamento,17.2,21
1157,Interferência de Terceiro,Abalroamento,0.4,14
1158,Interferência de Terceiro,Atropelamento,2.0,0
1159,Interferência de Terceiro,Abalroamento,0.0,2
1160,Interferência de Terceiro,Abalroamento,2.4,7
1161,Interferência de Terceiro,Atropelamento,4.0,12
1162,Interferência de Terceiro,Abalroamento,0.3,13
1163,Material Rodante,Descarrilamento,4.5,22
1164,Interferência de Terceiro,Abalroamento,0.2,18
1165,Interferência de Terceiro,Atropelamento,3.1,13
1166,Interferência de Terceiro,Atropelamento,1.3,19
1167,Interferência de Terceiro,Abalroamento,2.4,20
1168,Interferência de Terceiro,Abalroamento,0.2,21
1169,Interferência de Terceiro,Abalroamento,2.5,13
1170,Via Permanente,Descarrilamento,13.9,14
1171,Interferência de Terceiro,Abalroamento,0.1,16
1172,Interferência de Terceiro,Abalroamento,4.9,19
1173,Interferência de Terceiro,Abalroamento,2.5,10
1174,Interferência de Terceiro,Atropelamento,2.4,14
1175,Interferência de Terceiro,Abalroamento,0.8,20
1176,Via Permanente,Descarrilamento,7.1,16
1177,Interferência de Terceiro,Abalroamento,2.7,5
1178,Interferência de Terceiro,Atropelamento,0.1,15
1179,Interferência de Terceiro,Atropelamento,2.0,15
1180,Interferência de Terceiro,Abalroamento,0.6,19
1181,Interferência de Terceiro,Abalroamento,1.2,8
1182,Interferência de Terceiro,Abalroamento,0.0,18
1183,Interferência de Terceiro,Abalroamento,0.1,22
1184,Interferência de Terceiro,Atropelamento,0.0,4
1185,Via Permanente,Descarrilamento,46.0,11
1186,Interferência de Terceiro,Abalroamento,0.8,11
1187,Interferência de Terceiro,Abalroamento,1.1,13
1188,Interferência de Terceiro,Atropelamento,1.5,23
1189,Casos Fortuitos ou de Força Maior,Descarrilamento,23.0,6
1190,Outras Causas,Descarrilamento,18.3,12
1191,Material Rodante,Descarrilamento,0.0,4
1192,Interferência de Terceiro,Atropelamento,1.0,18
1193,Interferência de Terceiro,Abalroamento,0.3,20
1194,Interferência de Terceiro,Atropelamento,1.5,20
1195,Interferência de Terceiro,Abalroamento,0.0,3
1196,Interferência de Terceiro,Atropelamento,1.4,6
1197,Interferência de Terceiro,Abalroamento,0.4,19
1198,Interferência de Terceiro,Descarrilamento,1.0,10
1199,Via Permanente,Descarrilamento,9.6,14
1200,Interferência de Terceiro,Atropelamento,0.0,20
1201,Via Permanente,Descarrilamento,15.8,5
1202,Via Permanente,Descarrilamento,9.4,8
1203,Interferência de Terceiro,Abalroamento,1.3,12
1204,Via Permanente,Descarrilamento,24.0,12
1205,Interferência de Terceiro,Atropelamento,1.5,17
1206,Interferência de Terceiro,Abalroamento,0.2,23
1207,Via Permanente,Descarrilamento,23.4,14
1208,Interferência de Terceiro,Atropelamento,1.0,18
1209,Interferência de Terceiro,Abalroamento,0.0,19
1210,Interferência de Terceiro,Atropelamento,0.6,5
1211,Via Permanente,Descarrilamento,16.2,12
1212,Interferência de Terceiro,Abalroamento,0.0,0
1213,Interferência de Terceiro,Abalroamento,0.0,13
1214,Via Permanente,Descarrilamento,0.0,13
1215,Interferência de Terceiro,Atropelamento,1.4,15
1216,Interferência de Terceiro,Abalroamento,1.5,9
1217,Interferência de Terceiro,Abalroamento,2.1,8
1218,Interferência de Terceiro,Abalroamento,1.7,9
1219,Interferência de Terceiro,Atropelamento,2.1,2
1220,Interferência de Terceiro,Abalroamento,0.0,9
1221,Via Permanente,Descarrilamento,3.5,11
1222,Interferência de Terceiro,Atropelamento,0.0,13
1223,Material Rodante,Descarrilamento,5.5,0
1224,Interferência de Terceiro,Abalroamento,3.3,10
1225,Interferência de Terceiro,Atropelamento,3.3,20
1226,Interferência de Terceiro,Abalroamento,0.0,1
1227,Interferência de Terceiro,Abalroamento,0.3,8
1228,Interferência de Terceiro,Abalroamento,2.5,8
1229,Interferência de Terceiro,Atropelamento,0.0,1
1230,Interferência de Terceiro,Abalroamento,2.5,2
1231,Interferência de Terceiro,Abalroamento,0.0,8
1232,Material Rodante,Descarrilamento,7.3,12
1233,Via Permanente,Descarrilamento,10.8,14
1234,Interferência de Terceiro,Atropelamento,0.0,14
1235,Via Permanente,Descarrilamento,4.3,16
1236,Via Permanente,Descarrilamento,7.4,14
1237,Interferência de Terceiro,Abalroamento,0.0,18
1238,Interferência de Terceiro,Abalroamento,0.0,18
1239,Interferência de Terceiro,Abalroamento,1.0,9
1240,Interferência de Terceiro,Abalroamento,0.2,15
1241,Interferência de Terceiro,Abalroamento,0.0,16
1242,Interferência de Terceiro,Abalroamento,0.0,14
1243,Interferência de Terceiro,Atropelamento,1.0,1
1244,Interferência de Terceiro,Atropelamento,0.0,2
1245,Interferência de Terceiro,Abalroamento,2.0,20
1246,Interferência de Terceiro,Abalroamento,2.0,23
1247,Interferência de Terceiro,Atropelamento,4.4,1
1248,Interferência de Terceiro,Abalroamento,0.0,19
1249,Interferência de Terceiro,Abalroamento,1.0,12
1250,Interferência de Terceiro,Abalroamento,0.0,12
1251,Interferência de Terceiro,Abalroamento,1.3,18
1252,Interferência de Terceiro,Atropelamento,6.8,6
1253,Interferência de Terceiro,Atropelamento,0.0,7
1254,Via Permanente,Descarrilamento,73.7,11
1255,Interferência de Terceiro,Abalroamento,0.0,12
1256,Interferência de Terceiro,Abalroamento,2.1,18
1257,Interferência de Terceiro,Atropelamento,2.5,3
1258,Interferência de Terceiro,Atropelamento,2.0,7
1259,Interferência de Terceiro,Abalroamento,0.7,8
1260,Interferência de Terceiro,Abalroamento,1.0,11
1261,Interferência de Terceiro,Abalroamento,1.3,1
1262,Interferência de Terceiro,Abalroamento,0.1,4
1263,Interferência de Terceiro,Atropelamento,0.0,11
1264,Interferência de Terceiro,Abalroamento,0.5,10
1265,Interferência de Terceiro,Abalroamento,0.6,10
1266,Via Permanente,Descarrilamento,11.2,13
1267,Interferência de Terceiro,Abalroamento,0.0,14
1268,Interferência de Terceiro,Atropelamento,2.0,19
1269,Interferência de Terceiro,Abalroamento,1.1,2
1270,Interferência de Terceiro,Atropelamento,0.0,16
1271,Interferência de Terceiro,Atropelamento,3.4,17
1272,Interferência de Terceiro,Atropelamento,0.6,21
1273,Interferência de Terceiro,Abalroamento,0.0,21
1274,Material Rodante,Descarrilamento,0.0,22
1275,Interferência de Terceiro,Atropelamento,4.0,3
1276,Interferência de Terceiro,Abalroamento,0.2,4
1277,Via Permanente,Descarrilamento,14.2,4
1278,Interferência de Terceiro,Atropelamento,0.5,9
1279,Interferência de Terceiro,Abalroamento,3.2,9
1280,Interferência de Terceiro,Abalroamento,1.4,13
1281,Interferência de Terceiro,Abalroamento,0.0,17
1282,Interferência de Terceiro,Abalroamento,5.0,16
1283,Interferência de Terceiro,Abalroamento,0.4,11
1284,Via Permanente,Descarrilamento,49.0,14
1285,Interferência de Terceiro,Abalroamento,0.0,20
1286,Interferência de Terceiro,Abalroamento,0.3,7
1287,Interferência de Terceiro,Atropelamento,0.6,9
1288,Interferência de Terceiro,Atropelamento,0.0,6
1289,Interferência de Terceiro,Abalroamento,0.0,14
1290,Interferência de Terceiro,Abalroamento,0.0,17
1291,Interferência de Terceiro,Abalroamento,0.2,18
1292,Interferência de Terceiro,Atropelamento,2.2,11
1293,Via Permanente,Descarrilamento,8.6,6
1294,Casos Fortuitos ou de Força Maior,Colisão,0.0,7
1295,Interferência de Terceiro,Atropelamento,0.4,8
1296,Interferência de Terceiro,Abalroamento,0.0,10
1297,Interferência de Terceiro,Abalroamento,0.3,11
1298,Falha Humana,Descarrilamento,0.0,16
1299,Interferência de Terceiro,Atropelamento,0.5,19
1300,Interferência de Terceiro,Abalroamento,1.8,20
1301,Via Permanente,Descarrilamento,0.0,4
1302,Interferência de Terceiro,Abalroamento,0.0,12
1303,Via Permanente,Descarrilamento,28.0,12
1304,Via Permanente,Descarrilamento,2.5,20
1305,Interferência de Terceiro,Abalroamento,0.0,22
1306,Interferência de Terceiro,Abalroamento,0.0,23
1307,Interferência de Terceiro,Abalroamento,0.0,13
1308,Interferência de Terceiro,Abalroamento,0.0,20
1309,Interferência de Terceiro,Atropelamento,0.5,21
1310,Via Permanente,Descarrilamento,11.6,22
1311,Interferência de Terceiro,Atropelamento,1.0,1
1312,Interferência de Terceiro,Abalroamento,0.0,13
1313,Interferência de Terceiro,Atropelamento,0.0,3
1314,Interferência de Terceiro,Atropelamento,0.5,4
1315,Interferência de Terceiro,Atropelamento,3.0,6
1316,Via Permanente,Descarrilamento,21.3,13
1317,Falha Humana,Colisão,0.0,8
1318,Via Permanente,Descarrilamento,8.5,9
1319,Interferência de Terceiro,Abalroamento,2.0,21
1320,Interferência de Terceiro,Atropelamento,1.4,8
1321,Interferência de Terceiro,Abalroamento,2.0,8
1322,Material Rodante,Descarrilamento,0.4,11
1323,Interferência de Terceiro,Abalroamento,0.2,14
1324,Via Permanente,Descarrilamento,7.0,5
1325,Interferência de Terceiro,Abalroamento,1.0,9
1326,Interferência de Terceiro,Abalroamento,0.4,10
1327,Interferência de Terceiro,Abalroamento,0.3,16
1328,Via Permanente,Descarrilamento,7.2,17
1329,Interferência de Terceiro,Abalroamento,1.0,5
1330,Interferência de Terceiro,Atropelamento,0.4,13
1331,Interferência de Terceiro,Atropelamento,0.0,16
1332,Interferência de Terceiro,Abalroamento,0.4,18
1333,Interferência de Terceiro,Atropelamento,1.1,19
1334,Interferência de Terceiro,Atropelamento,0.5,19
1335,Interferência de Terceiro,Abalroamento,1.2,21
1336,Interferência de Terceiro,Atropelamento,1.1,1
1337,Interferência de Terceiro,Abalroamento,0.1,8
1338,Interferência de Terceiro,Atropelamento,0.4,23
1339,Interferência de Terceiro,Atropelamento,0.3,7
1340,Interferência de Terceiro,Abalroamento,1.4,23
1341,Via Permanente,Descarrilamento,35.3,15
1342,Interferência de Terceiro,Atropelamento,0.3,17
1343,Interferência de Terceiro,Abalroamento,1.9,23
1344,Interferência de Terceiro,Abalroamento,1.3,1
1345,Interferência de Terceiro,Abalroamento,0.0,3
1346,Material Rodante,Descarrilamento,0.0,13
1347,Interferência de Terceiro,Abalroamento,2.0,19
1348,Interferência de Terceiro,Abalroamento,2.5,0
1349,Interferência de Terceiro,Atropelamento,4.0,6
1350,Via Permanente,Descarrilamento,10.9,21
1351,Interferência de Terceiro,Atropelamento,0.5,17
1352,Interferência de Terceiro,Atropelamento,1.1,17
1353,Interferência de Terceiro,Abalroamento,0.0,19
1354,Via Permanente,Descarrilamento,12.5,21
1355,Interferência de Terceiro,Atropelamento,0.0,18
1356,Interferência de Terceiro,Atropelamento,0.0,6
1357,Interferência de Terceiro,Atropelamento,0.0,12
1358,Interferência de Terceiro,Abalroamento,0.4,2
1359,Interferência de Terceiro,Atropelamento,0.0,5
1360,Interferência de Terceiro,Atropelamento,6.0,10
1361,Interferência de Terceiro,Abalroamento,0.0,18
1362,Interferência de Terceiro,Abalroamento,0.3,3
1363,Via Permanente,Descarrilamento,22.4,13
1364,Interferência de Terceiro,Abalroamento,0.6,21
1365,Interferência de Terceiro,Atropelamento,0.0,14
1366,Interferência de Terceiro,Abalroamento,0.2,18
1367,Interferência de Terceiro,Abalroamento,0.0,0
1368,Interferência de Terceiro,Atropelamento,2.5,4
1369,Interferência de Terceiro,Abalroamento,4.0,7
1370,Interferência de Terceiro,Abalroamento,0.7,14
1371,Interferência de Terceiro,Abalroamento,0.8,16
1372,Via Permanente,Descarrilamento,32.5,18
1373,Via Permanente,Descarrilamento,0.0,8
1374,Via Permanente,Descarrilamento,9.1,1
1375,Interferência de Terceiro,Abalroamento,0.7,9
1376,Interferência de Terceiro,Abalroamento,0.2,11
1377,Interferência de Terceiro,Atropelamento,3.3,21
1378,Via Permanente,Descarrilamento,24.0,7
1379,Interferência de Terceiro,Abalroamento,3.0,8
1380,Interferência de Terceiro,Abalroamento,0.0,9
1381,Via Permanente,Descarrilamento,44.7,6
1382,Interferência de Terceiro,Atropelamento,3.0,17
1383,Casos Fortuitos ou de Força Maior,Atropelamento,6.0,18
1384,Interferência de Terceiro,Abalroamento,0.8,18
1385,Interferência de Terceiro,Atropelamento,0.0,19
1386,Interferência de Terceiro,Abalroamento,1.3,23
1387,Casos Fortuitos ou de Força Maior,Descarrilamento,21.5,4
1388,Via Permanente,Descarrilamento,9.3,11
1389,Interferência de Terceiro,Atropelamento,0.0,11
1390,Via Permanente,Descarrilamento,6.1,15
1391,Interferência de Terceiro,Atropelamento,2.0,21
1392,Material Rodante,Descarrilamento,0.5,12
1393,Interferência de Terceiro,Abalroamento,0.5,17
1394,Interferência de Terceiro,Abalroamento,0.1,19
1395,Interferência de Terceiro,Abalroamento,0.0,19
1396,Interferência de Terceiro,Abalroamento,2.8,19
1397,Interferência de Terceiro,Abalroamento,0.0,19
1398,Interferência de Terceiro,Atropelamento,3.4,5
1399,Material Rodante,Descarrilamento,22.0,13
1400,Interferência de Terceiro,Atropelamento,2.9,22
1401,Interferência de Terceiro,Atropelamento,2.4,6
1402,Interferência de Terceiro,Atropelamento,0.0,12
1403,Interferência de Terceiro,Atropelamento,0.0,15
1404,Interferência de Terceiro,Atropelamento,2.2,17
1405,Interferência de Terceiro,Atropelamento,2.2,0
1406,Interferência de Terceiro,Abalroamento,0.0,4
1407,Falha Humana,Colisão,0.0,13
1408,Interferência de Terceiro,Descarrilamento,4.0,16
1409,Via Permanente,Descarrilamento,0.0,17
1410,Interferência de Terceiro,Atropelamento,0.3,11
1411,Casos Fortuitos ou de Força Maior,Atropelamento,2.0,22
1412,Interferência de Terceiro,Abalroamento,4.1,14
1413,Interferência de Terceiro,Abalroamento,1.3,18
1414,Interferência de Terceiro,Abalroamento,0.0,20
1415,Interferência de Terceiro,Abalroamento,0.0,7
1416,Interferência de Terceiro,Abalroamento,0.0,14
1417,Via Permanente,Descarrilamento,8.6,14
1418,Via Permanente,Descarrilamento,0.0,15
1419,Interferência de Terceiro,Abalroamento,0.0,18
1420,Interferência de Terceiro,Atropelamento,0.0,11
1421,Interferência de Terceiro,Abalroamento,0.0,18
1422,Interferência de Terceiro,Abalroamento,1.3,22
1423,Interferência de Terceiro,Atropelamento,2.0,2
1424,Falha Humana,Descarrilamento,9.7,6
1425,Interferência de Terceiro,Abalroamento,1.5,8
1426,Via Permanente,Descarrilamento,9.0,12
1427,Via Permanente,Descarrilamento,0.0,15
1428,Interferência de Terceiro,Atropelamento,0.4,18
1429,Via Permanente,Descarrilamento,2.0,0
1430,Interferência de Terceiro,Abalroamento,0.0,4
1431,Interferência de Terceiro,Abalroamento,4.6,8
1432,Interferência de Terceiro,Abalroamento,2.8,9
1433,Interferência de Terceiro,Abalroamento,1.7,0
1434,Via Permanente,Descarrilamento,7.2,16
1435,Material Rodante,Incêndio,0.0,18
1436,Interferência de Terceiro,Abalroamento,2.4,8
1437,Interferência de Terceiro,Atropelamento,0.0,9
1438,Interferência de Terceiro,Abalroamento,0.0,20
1439,Interferência de Terceiro,Abalroamento,2.7,23
1440,Interferência de Terceiro,Atropelamento,1.9,11
1441,Interferência de Terceiro,Abalroamento,1.3,15
1442,Interferência de Terceiro,Atropelamento,0.0,17
1443,Interferência de Terceiro,Atropelamento,0.1,18
1444,Interferência de Terceiro,Atropelamento,0.6,12
1445,Falha Humana,Descarrilamento,3.0,14
1446,Interferência de Terceiro,Abalroamento,0.2,15
1447,Via Permanente,Colisão,26.3,0
1448,Via Permanente,Descarrilamento,23.8,11
1449,Interferência de Terceiro,Abalroamento,2.3,18
1450,Interferência de Terceiro,Atropelamento,0.5,18
1451,Interferência de Terceiro,Atropelamento,0.0,19
1452,Interferência de Terceiro,Atropelamento,0.0,15
1453,Interferência de Terceiro,Abalroamento,1.0,14
1454,Via Permanente,Descarrilamento,0.0,16
1455,Interferência de Terceiro,Atropelamento,1.9,18
1456,Via Permanente,Descarrilamento,7.2,9
1457,Interferência de Terceiro,Abalroamento,0.3,7
1458,Interferência de Terceiro,Atropelamento,0.3,19
1459,Interferência de Terceiro,Abalroamento,0.2,12
1460,Interferência de Terceiro,Abalroamento,1.3,12
1461,Interferência de Terceiro,Abalroamento,0.4,1
1462,Interferência de Terceiro,Abalroamento,2.0,12
1463,Interferência de Terceiro,Atropelamento,0.5,16
1464,Interferência de Terceiro,Abalroamento,1.5,21
1465,Interferência de Terceiro,Abalroamento,0.0,18
1466,Via Permanente,Descarrilamento,40.0,19
1467,Interferência de Terceiro,Abalroamento,0.8,8
1468,Interferência de Terceiro,Atropelamento,1.0,15
1469,Interferência de Terceiro,Atropelamento,0.5,16
1470,Interferência de Terceiro,Abalroamento,0.7,0
1471,Interferência de Terceiro,Atropelamento,0.0,0
1472,Via Permanente,Descarrilamento,4.0,7
1473,Material Rodante,Descarrilamento,10.8,11
1474,Interferência de Terceiro,Abalroamento,1.2,12
1475,Interferência de Terceiro,Abalroamento,0.2,12
1476,Interferência de Terceiro,Abalroamento,1.0,7
1477,Interferência de Terceiro,Abalroamento,0.0,23
1478,Via Permanente,Descarrilamento,17.3,6
1479,Interferência de Terceiro,Atropelamento,0.0,8
1480,Interferência de Terceiro,Abalroamento,1.3,21
1481,Interferência de Terceiro,Abalroamento,0.0,0
1482,Interferência de Terceiro,Atropelamento,4.1,1
1483,Interferência de Terceiro,Abalroamento,2.8,3
1484,Via Permanente,Descarrilamento,0.0,15
1485,Interferência de Terceiro,Abalroamento,0.9,17
1486,Interferência de Terceiro,Atropelamento,0.0,18
1487,Interferência de Terceiro,Atropelamento,1.8,19
1488,Via Permanente,Descarrilamento,12.5,14
1489,Interferência de Terceiro,Abalroamento,0.1,17
1490,Interferência de Terceiro,Abalroamento,0.7,19
1491,Interferência de Terceiro,Abalroamento,0.3,7
1492,Interferência de Terceiro,Atropelamento,3.6,23
1493,Material Rodante,Descarrilamento,0.0,14
1494,Interferência de Terceiro,Atropelamento,1.3,5
1495,Interferência de Terceiro,Abalroamento,0.3,6
1496,Interferência de Terceiro,Abalroamento,1.9,7
1497,Interferência de Terceiro,Abalroamento,0.3,3
1498,Interferência de Terceiro,Abalroamento,0.2,10
1499,Via Permanente,Descarrilamento,13.8,15
1500,Interferência de Terceiro,Atropelamento,0.0,1
1501,Interferência de Terceiro,Descarrilamento,41.0,4
1502,Interferência de Terceiro,Abalroamento,0.4,8
1503,Interferência de Terceiro,Atropelamento,1.8,16
1504,Falha Humana,Atropelamento,6.8,2
1505,Interferência de Terceiro,Abalroamento,0.5,9
1506,Interferência de Terceiro,Atropelamento,0.0,9
1507,Interferência de Terceiro,Atropelamento,3.0,11
1508,Interferência de Terceiro,Abalroamento,0.0,18
1509,Via Permanente,Descarrilamento,11.0,0
1510,Interferência de Terceiro,Atropelamento,1.3,9
1511,Interferência de Terceiro,Abalroamento,0.9,12
1512,Interferência de Terceiro,Atropelamento,0.6,12
1513,Interferência de Terceiro,Atropelamento,2.2,17
1514,Interferência de Terceiro,Abalroamento,1.0,18
1515,Interferência de Terceiro,Abalroamento,4.4,19
1516,Via Permanente,Descarrilamento,0.0,12
1517,Via Permanente,Descarrilamento,0.0,15
1518,Interferência de Terceiro,Atropelamento,2.9,16
1519,Interferência de Terceiro,Abalroamento,0.4,17
1520,Interferência de Terceiro,Atropelamento,0.0,19
1521,Interferência de Terceiro,Atropelamento,1.1,17
1522,Interferência de Terceiro,Abalroamento,2.5,9
1523,Interferência de Terceiro,Atropelamento,0.0,9
1524,Via Permanente,Descarrilamento,0.0,16
1525,Via Permanente,Descarrilamento,21.8,13
1526,Via Permanente,Descarrilamento,16.1,13
1527,Interferência de Terceiro,Abalroamento,0.0,21
1528,Interferência de Terceiro,Abalroamento,0.6,23
1529,Interferência de Terceiro,Abalroamento,2.4,3
1530,Interferência de Terceiro,Abalroamento,0.0,8
1531,Interferência de Terceiro,Abalroamento,3.3,18
1532,Material Rodante,Descarrilamento,23.9,23
1533,Interferência de Terceiro,Abalroamento,2.1,1
1534,Material Rodante,Descarrilamento,4.3,18
1535,Via Permanente,Descarrilamento,5.5,5
1536,Interferência de Terceiro,Abalroamento,0.3,6
1537,Via Permanente,Descarrilamento,8.0,23
1538,Interferência de Terceiro,Atropelamento,1.0,18
1539,Via Permanente,Descarrilamento,0.1,10
1540,Interferência de Terceiro,Atropelamento,1.7,6
1541,Interferência de Terceiro,Abalroamento,0.9,21
1542,Interferência de Terceiro,Abalroamento,0.8,23
1543,Interferência de Terceiro,Abalroamento,0.0,20
1544,Material Rodante,Descarrilamento,0.0,2
1545,Interferência de Terceiro,Abalroamento,0.0,5
1546,Interferência de Terceiro,Atropelamento,1.0,11
1547,Interferência de Terceiro,Abalroamento,1.7,12
1548,Interferência de Terceiro,Atropelamento,0.0,20
1549,Interferência de Terceiro,Atropelamento,0.0,15
1550,Interferência de Terceiro,Atropelamento,2.0,18
1551,Interferência de Terceiro,Abalroamento,4.3,10
1552,Gestão,Descarrilamento,14.8,21
1553,Casos Fortuitos ou de Força Maior,Descarrilamento,4.8,18
1554,Interferência de Terceiro,Abalroamento,0.5,2
1555,Interferência de Terceiro,Atropelamento,1.8,3
1556,Material Rodante,Descarrilamento,6.0,18
1557,Interferência de Terceiro,Atropelamento,0.5,13
1558,Interferência de Terceiro,Atropelamento,3.0,15
1559,Interferência de Terceiro,Abalroamento,1.0,0
1560,Interferência de Terceiro,Abalroamento,0.0,7
1561,Interferência de Terceiro,Atropelamento,0.0,16
1562,Material Rodante,Descarrilamento,5.0,16
1563,Interferência de Terceiro,Abalroamento,0.0,14
1564,Interferência de Terceiro,Abalroamento,1.0,11
1565,Via Permanente,Descarrilamento,5.5,20
1566,Interferência de Terceiro,Atropelamento,0.3,7
1567,Interferência de Terceiro,Atropelamento,0.0,16
1568,Interferência de Terceiro,Abalroamento,2.4,10
1569,Interferência de Terceiro,Abalroamento,0.0,11
1570,Interferência de Terceiro,Abalroamento,0.0,20
1571,Outras Causas,Descarrilamento,0.0,19
1572,Via Permanente,Descarrilamento,24.0,5
1573,Interferência de Terceiro,Atropelamento,1.1,10
1574,Interferência de Terceiro,Atropelamento,0.0,13
1575,Interferência de Terceiro,Atropelamento,2.0,19
1576,Interferência de Terceiro,Abalroamento,4.3,9
1577,Interferência de Terceiro,Abalroamento,0.6,16
1578,Interferência de Terceiro,Atropelamento,2.9,6
1579,Via Permanente,Descarrilamento,1.5,13
1580,Interferência de Terceiro,Incêndio,6.0,20
1581,Interferência de Terceiro,Abalroamento,3.5,22
1582,Interferência de Terceiro,Atropelamento,4.0,18
1583,Material Rodante,Descarrilamento,4.3,23
1584,Interferência de Terceiro,Abalroamento,1.0,7
1585,Interferência de Terceiro,Atropelamento,1.9,20
1586,Interferência de Terceiro,Abalroamento,0.3,22
1587,Interferência de Terceiro,Abalroamento,0.0,0
1588,Via Permanente,Descarrilamento,6.1,3
1589,Via Permanente,Descarrilamento,24.0,7
1590,Falha Humana,Colisão,2.1,9
1591,Interferência de Terceiro,Abalroamento,0.9,10
1592,Interferência de Terceiro,Abalroamento,2.0,17
1593,Interferência de Terceiro,Abalroamento,1.0,17
1594,Interferência de Terceiro,Abalroamento,0.0,1
1595,Interferência de Terceiro,Atropelamento,1.3,2
1596,Interferência de Terceiro,Atropelamento,2.0,10
1597,Interferência de Terceiro,Abalroamento,0.0,19
1598,Interferência de Terceiro,Abalroamento,1.5,0
1599,Interferência de Terceiro,Abalroamento,1.0,21
1600,Interferência de Terceiro,Abalroamento,7.4,11
1601,Interferência de Terceiro,Abalroamento,0.3,18
1602,Interferência de Terceiro,Atropelamento,0.0,19
1603,Casos Fortuitos ou de Força Maior,Atropelamento,3.0,6
1604,Via Permanente,Descarrilamento,21.0,15
1605,Interferência de Terceiro,Abalroamento,5.6,3
1606,Interferência de Terceiro,Atropelamento,2.9,5
1607,Interferência de Terceiro,Abalroamento,1.7,15
1608,Interferência de Terceiro,Abalroamento,2.6,16
1609,Interferência de Terceiro,Abalroamento,1.4,20
1610,Interferência de Terceiro,Abalroamento,1.0,18
1611,Interferência de Terceiro,Abalroamento,0.8,22
