,Causa_Direta,Natureza,Interrupcao (h),Hora
176,Interferência de Terceiro,Atropelamento,4.0,1
177,Material Rodante,Descarrilamento,32.0,22
178,Interferência de Terceiro,Atropelamento,1.0,20
179,Interferência de Terceiro,Abalroamento,0.9,15
180,Via Permanente,Descarrilamento,0.0,21
181,Material Rodante,Descarrilamento,33.0,3
182,Interferência de Terceiro,Abalroamento,0.0,10
183,Via Permanente,Descarrilamento,23.2,19
184,Interferência de Terceiro,Abalroamento,0.3,22
185,Via Permanente,Descarrilamento,0.0,5
186,Interferência de Terceiro,Abalroamento,2.0,20
187,Interferência de Terceiro,Atropelamento,0.6,23
188,Via Permanente,Descarrilamento,10.1,11
189,Interferência de Terceiro,Abalroamento,0.0,17
190,Interferência de Terceiro,Abalroamento,3.0,19
191,Interferência de Terceiro,Abalroamento,1.0,21
192,Via Permanente,Descarrilamento,13.5,5
193,Interferência de Terceiro,Atropelamento,1.0,12
194,Interferência de Terceiro,Atropelamento,2.0,13
195,Via Permanente,Descarrilamento,3.2,17
196,Interferência de Terceiro,Abalroamento,1.1,11
197,Interferência de Terceiro,Atropelamento,1.9,0
198,Via Permanente,Descarrilamento,4.2,2
199,Interferência de Terceiro,Abalroamento,0.0,18
200,Interferência de Terceiro,Abalroamento,0.5,7
201,Interferência de Terceiro,Abalroamento,0.5,10
202,Via Permanente,Descarrilamento,16.2,13
203,Via Permanente,Descarrilamento,0.0,2
204,Interferência de Terceiro,Atropelamento,3.0,1
205,Interferência de Terceiro,Abalroamento,0.5,16
206,Material Rodante,Descarrilamento,5.5,13
207,Interferência de Terceiro,Atropelamento,1.2,22
208,Interferência de Terceiro,Atropelamento,0.0,17
209,Interferência de Terceiro,Abalroamento,0.0,12
210,Interferência de Terceiro,Atropelamento,2.1,14
211,Interferência de Terceiro,Abalroamento,1.3,16
212,Via Permanente,Descarrilamento,13.0,17
213,Via Permanente,Descarrilamento,5.0,11
214,Interferência de Terceiro,Atropelamento,0.0,17
215,Interferência de Terceiro,Abalroamento,0.2,6
216,Interferência de Terceiro,Abalroamento,1.1,18
217,Interferência de Terceiro,Abalroamento,0.2,7
218,Via Permanente,Descarrilamento,22.0,3
219,Interferência de Terceiro,Abalroamento,0.7,14
220,Via Permanente,Descarrilamento,4.3,22
221,Casos Fortuitos ou de Força Maior,Colisão,1.5,2
222,Via Permanente,Descarrilamento,14.5,0
223,Via Permanente,Descarrilamento,7.8,2
224,Material Rodante,Descarrilamento,6.7,13
225,Interferência de Terceiro,Atropelamento,1.3,15
226,Interferência de Terceiro,Atropelamento,1.0,21
227,Via Permanente,Descarrilamento,19.0,14
228,Interferência de Terceiro,Abalroamento,1.0,17
229,Interferência de Terceiro,Atropelamento,1.2,14
230,Interferência de Terceiro,Atropelamento,1.8,17
231,Interferência de Terceiro,Abalroamento,0.0,18
232,Interferência de Terceiro,Atropelamento,0.0,18
233,Interferência de Terceiro,Atropelamento,1.8,3
234,Interferência de Terceiro,Abalroamento,2.5,8
235,Casos Fortuitos ou de Força Maior,Colisão,0.0,19
236,Interferência de Terceiro,Descarrilamento,7.7,22
237,Interferência de Terceiro,Atropelamento,2.9,20
238,Interferência de Terceiro,Atropelamento,4.3,23
239,Interferência de Terceiro,Abalroamento,0.4,6
240,Material Rodante,Descarrilamento,0.0,15
241,Interferência de Terceiro,Atropelamento,1.5,22
242,Interferência de Terceiro,Abalroamento,0.0,6
243,Interferência de Terceiro,Atropelamento,1.5,17
244,Via Permanente,Descarrilamento,12.0,18
245,Interferência de Terceiro,Abalroamento,1.0,20
246,Via Permanente,Descarrilamento,17.1,21
247,Via Permanente,Descarrilamento,37.9,3
248,Interferência de Terceiro,Atropelamento,0.0,5
249,Interferência de Terceiro,Atropelamento,3.3,7
250,Via Permanente,Descarrilamento,13.9,7
251,Interferência de Terceiro,Abalroamento,0.1,10
252,Via Permanente,Descarrilamento,53.2,11
253,Via Permanente,Descarrilamento,59.2,12
254,Casos Fortuitos ou de Força Maior,Descarrilamento,21.5,19
255,Via Permanente,Descarrilamento,5.5,4
256,Interferência de Terceiro,Abalroamento,0.3,6
257,Interferência de Terceiro,Atropelamento,1.0,20
258,Interferência de Terceiro,Abalroamento,0.3,16
259,Sistemas,Descarrilamento,15.0,5
260,Interferência de Terceiro,Abalroamento,1.0,13
261,Interferência de Terceiro,Abalroamento,2.3,17
262,Interferência de Terceiro,Abalroamento,2.6,7
263,Via Permanente,Descarrilamento,20.0,1
264,Interferência de Terceiro,Atropelamento,0.0,15
265,Interferência de Terceiro,Abalroamento,0.9,5
266,Interferência de Terceiro,Abalroamento,0.0,14
267,Interferência de Terceiro,Abalroamento,0.0,18
268,Interferência de Terceiro,Abalroamento,1.5,15
269,Interferência de Terceiro,Abalroamento,2.7,16
270,Interferência de Terceiro,Atropelamento,0.3,8
271,Interferência de Terceiro,Abalroamento,5.1,2
272,Interferência de Terceiro,Abalroamento,1.6,11
273,Via Permanente,Descarrilamento,4.0,13
274,Interferência de Terceiro,Atropelamento,1.0,3
275,Falha Humana,Descarrilamento,13.1,15
276,Interferência de Terceiro,Abalroamento,1.5,10
277,Interferência de Terceiro,Atropelamento,2.0,7
278,Interferência de Terceiro,Abalroamento,0.0,10
279,Material Rodante,Descarrilamento,12.0,2
280,Interferência de Terceiro,Abalroamento,2.2,12
281,Interferência de Terceiro,Abalroamento,0.0,20
282,Interferência de Terceiro,Atropelamento,0.0,1
283,Interferência de Terceiro,Abalroamento,0.7,15
284,Interferência de Terceiro,Atropelamento,1.2,19
285,Via Permanente,Descarrilamento,20.5,18
286,Via Permanente,Descarrilamento,7.0,0
287,Interferência de Terceiro,Abalroamento,1.0,6
288,Interferência de Terceiro,Abalroamento,1.3,14
289,Interferência de Terceiro,Abalroamento,0.6,16
290,Interferência de Terceiro,Atropelamento,0.0,20
291,Interferência de Terceiro,Abalroamento,0.5,6
292,Interferência de Terceiro,Abalroamento,0.8,13
293,Via Permanente,Descarrilamento,22.0,2
294,Material Rodante,Descarrilamento,3.1,10
295,Interferência de Terceiro,Atropelamento,2.0,13
296,Interferência de Terceiro,Atropelamento,0.3,8
297,Via Permanente,Descarrilamento,20.0,14
298,Interferência de Terceiro,Abalroamento,3.0,20
299,Via Permanente,Descarrilamento,16.5,0
300,Interferência de Terceiro,Abalroamento,0.5,11
301,Via Permanente,Descarrilamento,30.0,8
302,Interferência de Terceiro,Abalroamento,0.2,11
303,Casos Fortuitos ou de Força Maior,Colisão,2.0,10
304,Interferência de Terceiro,Abalroamento,1.0,17
305,Interferência de Terceiro,Atropelamento,0.0,18
306,Casos Fortuitos ou de Força Maior,Colisão,0.0,18
307,Interferência de Terceiro,Atropelamento,0.0,14
308,Interferência de Terceiro,Abalroamento,1.7,3
309,Interferência de Terceiro,Abalroamento,0.3,20
310,Interferência de Terceiro,Atropelamento,4.9,21
311,Interferência de Terceiro,Atropelamento,0.3,10
312,Interferência de Terceiro,Abalroamento,2.0,14
313,Interferência de Terceiro,Abalroamento,0.6,7
314,Via Permanente,Descarrilamento,7.2,15
315,Interferência de Terceiro,Atropelamento,4.5,6
316,Via Permanente,Descarrilamento,6.0,9
317,Interferência de Terceiro,Atropelamento,1.4,9
318,Interferência de Terceiro,Abalroamento,0.7,13
319,Interferência de Terceiro,Atropelamento,3.0,17
320,Interferência de Terceiro,Atropelamento,2.1,22
321,Interferência de Terceiro,Atropelamento,0.0,4
322,Interferência de Terceiro,Abalroamento,0.1,15
323,Interferência de Terceiro,Abalroamento,0.1,15
324,Interferência de Terceiro,Atropelamento,1.5,16
325,Via Permanente,Descarrilamento,17.3,18
326,Interferência de Terceiro,Atropelamento,3.0,20
327,Via Permanente,Descarrilamento,3.4,3
328,Interferência de Terceiro,Atropelamento,0.0,17
329,Via Permanente,Descarrilamento,12.0,15
330,Interferência de Terceiro,Abalroamento,0.2,15
331,Via Permanente,Descarrilamento,38.5,12
